season,round,race_date,race_name,circuit_id,driver_id,driver_code,constructor_id,driver_career_starts_before,driver_career_wins_before,driver_career_points_before,driver_career_dnf_rate_before,driver_season_points_before,driver_season_wins_before,driver_season_position_before,driver_season_dnf_rate_before,driver_avg_finish_last_3,driver_avg_finish_last_5,driver_avg_finish_last_10,driver_win_rate_last_3,driver_win_rate_last_5,driver_win_rate_last_10,driver_dnf_rate_last_3,driver_dnf_rate_last_5,driver_dnf_rate_last_10,driver_circuit_starts_before,driver_circuit_wins_before,driver_circuit_avg_finish_before,driver_circuit_dnf_rate_before,constructor_career_starts_before,constructor_career_wins_before,constructor_career_points_before,constructor_avg_finish_last_3,constructor_avg_finish_last_5,constructor_win_rate_last_3,constructor_win_rate_last_5,constructor_season_points_before,constructor_season_wins_before,constructor_season_position_before,qualifying_position,gap_to_pole_sec,driver_vs_teammate_q_gap_sec,team_best_qualifying_pos,qualifying_session_numeric,driver_avg_qualifying_last_3,driver_avg_qualifying_last_5,driver_avg_q_gap_to_pole_last_3,driver_avg_q_gap_to_pole_last_5,driver_season_avg_qualifying_before,won
2018,1,2018-03-25,Australian Grand Prix,albert_park,alonso,ALO,mclaren,0,0.0,0.0,,0.0,0.0,1,,,,,,,,,,,0,0.0,,,0,0.0,0.0,,,,,0.0,0.0,4,11.0,2.433000000000007,0.0,11.0,2.0,,,,,,0
2018,1,2018-03-25,Australian Grand Prix,albert_park,bottas,BOT,mercedes,0,0.0,0.0,,0.0,0.0,2,,,,,,,,,,,0,0.0,,,0,0.0,0.0,,,,,0.0,0.0,5,10.0,0.9249999999999972,0.9249999999999972,1.0,2.0,,,,,,0
2018,1,2018-03-25,Australian Grand Prix,albert_park,brendon_hartley,HAR,toro_rosso,0,0.0,0.0,,0.0,0.0,3,,,,,,,,,,,0,0.0,,,0,0.0,0.0,,,,,0.0,0.0,9,16.0,3.367999999999995,0.0,16.0,1.0,,,,,,0
2018,1,2018-03-25,Australian Grand Prix,albert_park,ericsson,ERI,sauber,0,0.0,0.0,,0.0,0.0,4,,,,,,,,,,,0,0.0,,,0,0.0,0.0,,,,,0.0,0.0,8,17.0,3.391999999999996,0.0,17.0,1.0,,,,,,0
2018,1,2018-03-25,Australian Grand Prix,albert_park,gasly,GAS,toro_rosso,0,0.0,0.0,,0.0,0.0,5,,,,,,,,,,,0,0.0,,,0,0.0,0.0,,,,,0.0,0.0,9,20.0,4.131,0.7630000000000052,16.0,1.0,,,,,,0
2018,1,2018-03-25,Australian Grand Prix,albert_park,grosjean,GRO,haas,0,0.0,0.0,,0.0,0.0,6,,,,,,,,,,,0,0.0,,,0,0.0,0.0,,,,,0.0,0.0,3,7.0,2.174999999999997,0.15200000000000102,6.0,3.0,,,,,,0
2018,1,2018-03-25,Australian Grand Prix,albert_park,hamilton,HAM,mercedes,0,0.0,0.0,,0.0,0.0,7,,,,,,,,,,,0,0.0,,,0,0.0,0.0,,,,,0.0,0.0,5,1.0,0.0,0.0,1.0,3.0,,,,,,0
2018,1,2018-03-25,Australian Grand Prix,albert_park,hulkenberg,HUL,renault,0,0.0,0.0,,0.0,0.0,8,,,,,,,,,,,0,0.0,,,0,0.0,0.0,,,,,0.0,0.0,7,8.0,2.367999999999995,0.4709999999999894,8.0,3.0,,,,,,0
2018,1,2018-03-25,Australian Grand Prix,albert_park,kevin_magnussen,MAG,haas,0,0.0,0.0,,0.0,0.0,9,,,,,,,,,,,0,0.0,,,0,0.0,0.0,,,,,0.0,0.0,3,6.0,2.022999999999996,0.0,6.0,3.0,,,,,,0
2018,1,2018-03-25,Australian Grand Prix,albert_park,leclerc,LEC,sauber,0,0.0,0.0,,0.0,0.0,10,,,,,,,,,,,0,0.0,,,0,0.0,0.0,,,,,0.0,0.0,8,18.0,3.471999999999994,0.0799999999999983,17.0,1.0,,,,,,0
2018,1,2018-03-25,Australian Grand Prix,albert_park,max_verstappen,VER,red_bull,0,0.0,0.0,,0.0,0.0,11,,,,,,,,,,,0,0.0,,,0,0.0,0.0,,,,,0.0,0.0,6,4.0,0.7150000000000034,0.0,4.0,3.0,,,,,,0
2018,1,2018-03-25,Australian Grand Prix,albert_park,ocon,OCO,force_india,0,0.0,0.0,,0.0,0.0,12,,,,,,,,,,,0,0.0,,,0,0.0,0.0,,,,,0.0,0.0,2,15.0,3.3389999999999986,0.49800000000000466,13.0,2.0,,,,,,0
2018,1,2018-03-25,Australian Grand Prix,albert_park,perez,PER,force_india,0,0.0,0.0,,0.0,0.0,13,,,,,,,,,,,0,0.0,,,0,0.0,0.0,,,,,0.0,0.0,2,13.0,2.840999999999994,0.0,13.0,2.0,,,,,,0
2018,1,2018-03-25,Australian Grand Prix,albert_park,raikkonen,RAI,ferrari,0,0.0,0.0,,0.0,0.0,14,,,,,,,,,,,0,0.0,,,0,0.0,0.0,,,,,0.0,0.0,1,2.0,0.6640000000000015,0.0,2.0,3.0,,,,,,0
2018,1,2018-03-25,Australian Grand Prix,albert_park,ricciardo,RIC,red_bull,0,0.0,0.0,,0.0,0.0,15,,,,,,,,,,,0,0.0,,,0,0.0,0.0,,,,,0.0,0.0,6,5.0,0.9879999999999995,0.27299999999999613,4.0,3.0,,,,,,0
2018,1,2018-03-25,Australian Grand Prix,albert_park,sainz,SAI,renault,0,0.0,0.0,,0.0,0.0,16,,,,,,,,,,,0,0.0,,,0,0.0,0.0,,,,,0.0,0.0,7,9.0,1.8970000000000056,0.0,8.0,3.0,,,,,,0
2018,1,2018-03-25,Australian Grand Prix,albert_park,sirotkin,SIR,williams,0,0.0,0.0,,0.0,0.0,17,,,,,,,,,,,0,0.0,,,0,0.0,0.0,,,,,0.0,0.0,10,19.0,3.7579999999999956,0.6919999999999931,14.0,1.0,,,,,,0
2018,1,2018-03-25,Australian Grand Prix,albert_park,stroll,STR,williams,0,0.0,0.0,,0.0,0.0,18,,,,,,,,,,,0,0.0,,,0,0.0,0.0,,,,,0.0,0.0,10,14.0,3.0660000000000025,0.0,14.0,2.0,,,,,,0
2018,1,2018-03-25,Australian Grand Prix,albert_park,vandoorne,VAN,mclaren,0,0.0,0.0,,0.0,0.0,19,,,,,,,,,,,0,0.0,,,0,0.0,0.0,,,,,0.0,0.0,4,12.0,2.689000000000007,0.2560000000000002,11.0,2.0,,,,,,0
2018,1,2018-03-25,Australian Grand Prix,albert_park,vettel,VET,ferrari,0,0.0,0.0,,0.0,0.0,20,,,,,,,,,,,0,0.0,,,0,0.0,0.0,,,,,0.0,0.0,1,3.0,0.6739999999999924,0.009999999999990905,2.0,3.0,,,,,,1
2018,2,2018-04-08,Bahrain Grand Prix,bahrain,alonso,ALO,mclaren,1,0.0,10.0,0.0,10.0,0.0,5,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,1,0.0,12.0,7.0,7.0,0.0,0.0,12.0,0.0,4,13.0,2.254000000000005,0.0,13.0,2.0,11.0,11.0,2.433000000000007,2.433000000000007,11.0,0
